"clusters1","clusters2","clusters3","clusters4","clusters5","clusters6","clusters7","clusters8","clusters9","clusters10","clusters11","clusters12","clusters13","clusters14","clusters15","clusters16","clusters17","clusters18","clusters19","clusters20","clusters21","clusters22","clusters23","clusters24","clusters25","clusters26","clusters27","clusters28","clusters29","clusters30","clusters31","clusters32","clusters33","clusters34","clusters35","clusters36","clusters37","clusters38","clusters39","clusters40","clusters41","clusters42","clusters43","clusters44","clusters45","clusters46","clusters47","clusters48","clusters49","clusters50","clusters51","clusters52","clusters53","clusters54","clusters55","clusters56","clusters57","clusters58","clusters59","clusters60","clusters61","clusters62","clusters63","feature"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,29,29,30,31,32,33,33,34,34,35,36,37,38,38,39,40,41,42,43,44,45,46,47,47,48,49,49,50,51,52,52,53,53,"SPTBN1"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48,49,50,50,51,52,53,53,54,54,"TEK"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,54,55,55,"TES"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,24,25,26,26,27,28,29,29,30,31,32,33,33,33,34,35,51,52,53,54,55,56,56,"TEX41"
1,1,1,3,3,3,3,3,3,3,3,3,13,14,15,15,16,16,17,17,17,17,18,19,19,19,19,19,20,20,20,30,31,32,33,34,34,35,35,36,37,38,39,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,57,"TIMP3"
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,36,37,38,39,40,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,58,"TMCO1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35,36,37,38,39,40,41,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,59,"TNS1"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,11,11,11,11,11,11,12,13,25,26,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,60,"TRIOBP"
1,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,31,31,32,32,32,33,34,35,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,61,"TXNRD2"
1,1,1,1,4,5,5,5,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,62,"ZNF280D"
1,2,3,4,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,32,32,48,49,50,50,52,63,"NonTargeting"
