"features","ABCA1","ABO","ADAMTS6","AFAP1","ALDH9A1","ANAPC1","ANGPT1","ANGPT2","ANGPTL2","ANKH","ANTXR1","ARHGEF12","ATXN2","BCAS3","CAPZA1","CAV1","CAV2","CDH11","COL24A1","CTTNBP2","CYP1B1","DGKG","EFEMP1","EMCN","EMID1","ETS1","FBXO32","FER","FERMT2","FMNL2","FNDC3B","FOXC1","GAS7","GMDS","GNB1L","KALRN","KREMEN1","LMO7","LMX1B","LTBP2","ME3","MECOM","MYOC","MYOF","PARD3B","PDE7B","PKHD1","PLEKHA7","PRSS23","PTPRJ","RALGPS1","RUNX2","SPTBN1","TEK","TES","TEX41","TIMP3","TMCO1","TNS1","TRIOBP","TXNRD2","ZNF280D","NonTargeting"
"TSGA10IP",1.79227844532535,1.14589460898104,1.36029087711657,1.70515947877625,1.52924403949155,1.34432632357377,0,1.2274171506607,1.80296577302517,0.748493268531014,1.27474581385493,1.52408233437578,1.22718125042948,1.14681120564464,1.44967138943482,0.73680853726969,0.179710585188834,0,1.2086712242162,0,0,0,0,0,0,0.449456013597907,2.13349669012721,1.90071967209815,1.75231470588816,1.70540099464538,1.55979720636532,0,1.92721945500746,0,1.36444791949454,0.895303104956143,1.29797346680865,1.53004575945711,1.67269682957268,0,1.71672741231817,1.88888478783759,0,2.08994126183507,1.96220344676766,1.74157148329565,1.50848547932476,1.36436407681031,1.32207809237976,0,0,0,0,0,0,0.75676415871241,1.62315516384859,1.16512350854345,1.11361587693286,0.917577214941345,1.02426441489991,1.68384221328599,0
"MGP",1.78381820767031,-0.556530418434343,2.19150092692694,2.00079361168284,1.80749720413982,2.99206303592955,0,0,0.674566772548946,0,0,1.22001617783133,0,0.309128903166539,1.44217521366302,0,0,-1.11796549750512,0,-0.395849461506085,0,0.0198828210528625,-0.658617063168848,-0.953475234478425,-0.150161369744475,-0.621111491030581,0.112045816622329,0,2.06029088374166,0,1.3663901018435,-0.256675580557555,0.468168086208999,-0.269835473190535,0.197820651273359,0.400318290568616,-0.0856169971929141,-0.941397516074477,-0.272132943110547,-0.62833625941106,-0.84115997189873,0,0,0,0.265097603947513,1.28494879725109,-0.27859374674691,-0.178921757700936,0.473863427347982,-1.35573314472849,-0.754422649919848,0,-1.12066014199553,-0.874449290109001,0,0,1.40971904634043,1.17709173265749,0.295544756393955,-0.179863334181566,0,0,0
"IFIT2",1.68864499572878,-0.295938728896276,0,-0.446623888045833,0,0,0,2.08976011877525,1.93327381774207,1.12299415353833,0.644054919485196,0.253258851058132,0,0.483126392956727,0.418516011457602,0,1.42479220834248,0.93950468761647,-0.547209685414232,0,0,-0.734979141815583,2.84576816083264,-0.84065540414412,-0.473960703383593,0.500020477792225,0,2.33830725940172,1.33148401836363,0,0.120773402074822,-0.279343324917316,0,1.6326535530842,0,-0.622957929144276,0,0.655095210903557,-0.40821654352381,0.573925297381584,0,0.340236492372598,0,2.83855419179481,0.48731418992016,0.338600643026293,0,1.79748971713179,0,0,-1.1252527721956,1.9708069913971,0.677843361776767,-0.454799749591933,-0.87186094823597,0.794594419379031,1.21865523489249,0.248649597805543,0.639497002461163,0,1.36660032413408,1.61313146308007,0
"LYPD3",1.68811779124972,-0.741498172952016,0,0,2.29955250333207,0,3.23243830747353,0,0,0,0,0,0.0855458909351856,0,0,0,0,-0.31188220875028,0,0,0,0,-0.216462643671597,-0.223205050674059,0.146782222928822,0.0162778398485972,0.970030207289204,0,0,0,0,-0.572051280889684,0,0,0,0,0.120749350543302,0,0,0,0,1.06460204975917,0,0,0,0.961682864575684,0,0,0,0,0,0,0,0,0,-0.211119231815363,1.09188417819354,-0.185414207412368,1.34432237345209,0,0,0,0
"HAPLN1",-1.68616570869878,0,0,-0.836419020193869,0,0,0,0,-1.1036672479291,0,-0.829759446705294,-1.25990095399668,0,0,0,0,0,0,0,0,0,0,0,-1.06191407686357,0,0,0,0,0,0,-0.867366442715117,0,-1.71787456842612,0,-0.969606325194409,-0.861942770760095,0,0,0,0,0,-1.33240152668941,0,-0.458812427207396,0,-0.532182251125488,-0.753279904557315,0,0,0,-2.2573224098949,0,-0.549030642374136,0,0,0,-0.977544740226534,0,-1.0564333378576,-1.74080096527562,0,0,0
"LYPD6B",-1.67324551680499,0,-2.60975259317961,-1.10890104716233,0,-1.73744222928124,0,-1.07775234859167,-1.23109894209428,-1.05757446665404,-1.03009168791792,-1.28622239369575,-0.796871804569242,-0.843864288417391,-1.18195586318543,-0.769357409357999,0,0,0,0,0,0,0,0,0,0,-1.43642099029405,-1.3345794439485,-1.08879451938325,-1.65320776356845,0,0,0,0,0,0,-0.630647450660361,-1.02947569268272,-1.13962989608406,0,-1.20376023350377,-1.0590916502174,0,0,-1.52193619353003,-1.11164203151534,0,-0.861270816134095,0,0,0,0,0.844068291586841,0,0,0,-1.31254785175306,-0.953909816660579,-0.766672940604991,-0.55212669313733,0,-1.12679825168889,0
"GASK1B",-1.62561027860446,-1.09088537501378,0,-1.42794028667924,0,0,-1.94111210433239,-1.00251264899653,-1.20957296397352,-0.698541801058309,-0.898101749793231,-1.51708582182629,-0.863241195071537,-1.71871968299594,-1.62652598478619,-0.893903146540143,0,0,0,-0.86582397702815,0.798528499128871,-0.606928857538383,0,-0.907576500448627,0,0,-1.8518447662353,-1.44677972394025,-1.08795349266166,-1.33684904765229,-1.68395426483526,0,-1.4646740603894,0,-1.21717319046242,-1.10950963602811,-1.12493333188778,-1.38449422930519,-1.36052804412181,0,-2.26304019921975,-1.92945389914801,0,-1.39825699711308,-1.29918079148215,-1.27697939017762,-0.945490544842961,0,-1.96425744098025,-1.13375718227478,0,-0.806182524246278,-0.79186735572975,-1.30105192767242,0,-0.793043412619114,-1.50517571172766,-1.07048300742406,-0.936984218709711,-0.973976738238014,-0.798572990685154,-1.41669114554628,0
"GRB14",1.61070492859695,0.708565970455606,0,0,0,0,0,0,1.70221703685448,0,0.95429847562511,1.07013654723424,0,0,0,0.747253792834216,0,0,2.02455551292535,0,0,0,0,0,0,0,1.29520310286902,0,1.19898778760971,0,0,0,1.81603526617046,0,0,1.02726989762238,0,0,0,0,1.94290135893814,0,0,0,2.04115748026248,1.42258240934524,1.51759552420546,0,0.753590677286906,0,0,0,0,0,0,0,0.641253991956553,1.12211082234802,1.16326943891566,0.799995254906189,1.16765305314851,1.3721650846839,0
"DPT",1.59446970283046,0,1.86197651847744,1.79648124194091,0,2.63264662049998,1.91378658426129,1.40517496967025,0.882405945452414,0,0.831319348741078,0,1.3515815287387,0,0.289773248471625,0,0,-0.691389137349377,0,0,0,0,0,-0.627586647912186,-0.175878845265566,0,1.33946151452239,0,1.48042243717585,0,1.61763512430735,0,0,0,0.83037057607365,0,0,0,0.088645178708715,0,0,1.065916905101,0,0,0,0.975187128925431,1.5659669562419,0.245107920344465,0,0,0,0,-1.371263285096,0.00643806290987052,0,0.213453629610283,1.62658322870473,1.58062693529629,1.08365167436284,0,0,1.0122563836168,0
"KYNU",1.57950260816474,0.572930582374032,1.71839530983473,1.3848551773112,0,1.8815311456144,2.04380257451328,0,1.14620590982945,0,0.968176628962888,0,1.22480347525296,0.583449792681408,0,0.556600562565517,0,0,0,0,0,0,0,0,0.218566132891973,0,0,1.08529960202851,2.22850436994809,0,0,0,0,0,0,0,0,0,0,0,0,0.579943499011215,0,0.0143668283214943,0,0.934451459890185,0,0.874611731674611,1.20575348170758,0,0,0,0,0,0,-0.137004805823025,1.30217135112262,1.20963300812197,0.765364797519367,0,0,1.24014321143043,0
"TMEM132B",1.56406664115447,0.475856146339401,0,1.43780618528118,0,0,0,1.31100252407561,1.63818672914986,0,1.30655115223006,1.38536075416995,1.11585493893004,1.32050960981998,1.4888343772457,0.990907587047198,0,0,0,-0.200896514455827,-0.915195726118379,0,-0.0580020134337487,0,0,0,1.56971786078676,1.50163440569,2.07547352793945,1.29465144189896,1.25979471912643,0,1.66785895226592,0,0,1.24166366310255,1.45531928370657,1.20928471205142,1.68609157973679,-0.37682419745329,1.3133851753866,1.5888823005987,0,1.40557887359635,1.32671475934669,1.40388261986915,0,1.41694758038351,1.63754698432318,0,0,0,0,0,0,0.850454268354011,1.35626098842164,1.4380665572505,1.3735470959236,0.919299251866638,0.217416116855877,1.04749111541357,0
"PRDM1",1.56370744905978,0,1.32764009082625,0.991497224346052,1.59190434089043,1.51390182888916,2.05917179894183,0.980100227950631,1.02650410654779,0,0.97777851096802,1.22866927184615,1.18595230868363,0.962518633924037,0,0.851936258562699,0.458904877714788,0,0,0,0,0,0,0,0,0,1.65514262383957,1.46092736402411,2.0290753741957,2.03002545328231,1.30093758802197,0,1.20463660839445,0.235906358381403,0.855461557036481,0,1.03633370575054,0.920949555475495,1.28366116111386,0,1.1157553273082,1.24156756263922,0,0,1.18151320646795,1.28169104503691,0.816350249046975,0,1.59350822659302,0,0,0,0,-0.313119127514745,0,0.292182574175186,1.36425090697306,0.735555353901698,0.786814560438311,0.51704290359151,0,1.14137042912286,0
"PCP4",-1.55176976836016,0,0,0,0,0,0,0,-1.08474852501042,-1.1590377184652,-0.543360412921625,0,0,-1.82930374388907,0,0,0,-1.38184476691785,0,0,0,-1.25745390468066,-2.47084977297659,0,1.9231102493658,-1.66373820000296,-0.962428827128429,0,-1.36203628583767,0,0,0,0,0,-1.2877225895533,-0.843024047841412,0,0,0,0,0,-0.172470494243655,-1.34195203979433,-0.775077895878343,0,0,0,0,0,-0.059916672030485,0,0,0,0,0,0,-2.00664753217079,0,-2.18507180335277,-2.46201511560183,-1.49732198433778,-1.66477873018935,0
"ITGA10",1.53892678070776,0,0,1.49237798884335,0,1.27383871610599,0,0,1.32700937512733,0,0.944871577568502,0,0.89682651620659,0.801961186541556,1.15347100233899,0,0,0,1.23636401068733,0,0,0,0,0,0,0,2.0443452383944,1.80786425160192,1.5192068976013,1.58428731410764,0,0,1.51277744632232,0,1.04603279858318,0,0.794526452064772,0,1.51570022885022,0,1.72179083785757,1.43047152670821,0,0,1.29814020827402,0.991603776322428,0,0,2.18176903541442,0,0,0,0,0.556184442612702,0,0,1.68195057332578,0.947794512746399,0,0.795094969835307,0,1.80941974472431,0
"CPA4",-1.51721254632379,-0.935601255102273,0,0,0,0,0,-1.3396743607716,-1.48315071025016,0,-1.28324349047013,0,-1.1977869586396,-1.37970902257386,0,-1.09395027978322,-0.619200102061725,0,0,-0.765600176193184,0,0,0,0,-0.706246370713808,0,-1.16491080239291,-1.42215034935218,-2.20194818171744,-2.23967857079488,0,0,0,0,0,0,-1.37408760422519,-1.44602149846684,-1.93225004560263,0,0,-1.34631242146423,0,-1.14491092892131,-1.93225004560263,0,-1.27620444682,-1.14775608135384,0,0,0,0,0,0,0,-0.878029654604748,-1.34292800550273,-1.25558496170424,-1.30251767476146,-0.623378103540719,-1.31076166885636,-2.21518400887413,0
"SALL1",1.51469062885147,0,0,0,0,0,0,0,1.17086796406372,0,1.38656115134223,1.48298176912413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54730275009098,1.70218026610784,1.80889337792999,2.24594257182328,1.31807484244844,0,1.95941981306711,0,0,0,0,0,0,0,0,1.20996327471771,0,0,1.35745088704027,1.48614904820281,0,0,1.94692886888392,0,0,0,0,0,0,0,0,0.906431508219171,0,0,0.548076797346012,1.58593895947196,0
"SNAP25",1.51030775447027,0.207548069818957,0,0,0,1.25173299682717,0,0.844308681658203,0.869688274632036,0,0,0,0.600251496031691,0,0,0,0,-0.0661931675026939,0,0.254184475821268,0,0,0,0,0,0,1.19661042558908,0.901235749743039,2.26167123388329,0,1.27335303893093,0,0.671243972685324,0,0,0,0,0,1.13333829602494,-0.537814195147905,0,1.21718168661528,0,0,0.293209632803331,1.06225519796346,1.24881551344488,0,0,0,0,0,0,0,0,0,1.13146588169217,0,0.398352120902836,0,0,0,0
"IL1B",1.5092596650374,0,0,0,0,3.07511334281085,0,0,0.85075002630328,0,0,0,0.873079372080046,0,0,0,0,0,0,0,0,0,0,0,1.00952500118327,0,0.339608705772925,1.66572240667315,2.28395564828105,0,0,1.75461862612475,0,0,1.22581904854177,0,0,0,0,0,0,0,0,0,0,1.34131502772333,0,0,0,2.13861628511701,0,0,0.958338737676783,0,0,0.972592721357025,1.36472202183892,1.39061516853878,0,0.791659395738125,0,1.18979982574079,0
"MMP3",1.47731561793774,1.20475485492728,1.80700702645228,1.35513044063292,0,1.71867640896453,1.57941153180722,0,2.4946242192731,0.994016633348408,1.42702838727279,1.43440219152942,1.28363158355516,1.44570925510511,0,0.0438180357571767,0,0,1.88650820349083,0,0,0,0,0.0226082590641408,0.132001510367685,1.28876759091054,0,1.29282685632303,1.94253160740189,1.83581617925054,0,0.224085226627476,2.48425429876688,-0.378626844874049,0,0.681338441875773,0.973297408395407,1.00646214300824,0,0,0,1.08763237084772,1.90288792130049,0,0.915390970436168,2.15283683591898,0,1.92894949128962,1.58550520392348,0,0,0,-0.210596421503105,-0.395489761189935,0.340518821305431,0.200737930981859,0.979682811892643,0,1.39071892517141,2.12456142146053,1.49280437284042,1.654698233727,0
"GPRC5A",-1.44168580971044,-0.673284465440513,0,-1.42556614434716,-2.20317372301072,-1.26410272165305,-0.817883567125926,-0.935240517764084,-1.43544765586113,-0.717332268724275,-0.93137769826676,-1.14923491589991,-0.990663339243037,-0.759567071535103,-1.18963696867597,-0.401768573164973,0,0,0,0,0,0,0.699836286947232,0.472050444502652,0,0.534862119751225,-1.58783757324604,-1.58104740902616,-1.37976245473404,-1.84546939879782,-1.31434866574862,0.0199794436951968,-0.89850202733421,0,-0.906946138454705,-0.664353003934282,-0.676262215617716,-0.971759074903746,-1.71507276154215,0,-1.60065285090526,-1.38801640603077,0.00289187069400029,-1.1051034584643,-1.55109702643102,-1.33642564215863,-1.23729950691534,-0.633079389344843,-1.48414097053262,0,0,0,0,0,0,0,-1.27806093464171,-0.866138735733147,-0.847509808278309,-0.686652278391437,-0.464940382681309,-1.17576756567007,0
"SEMA7A",1.40566375345743,0,1.21266511711579,1.37607556887438,2.14262934762363,1.67128440744284,1.31878630277746,0,1.25827871819353,0,0.781939404145778,1.14262934762363,0.809978238728132,0,0,0,0,0.624304039932767,1.62014555845103,0,0,0,0,0,0,0.0237415020410453,2.27253867021807,1.89277180708165,2.168387095035,2.59880554169596,0,0,1.89724528366096,0.376973716846417,0.992099143577459,0,1.23231503076077,1.13290040009702,1.595324972961,0,1.97176722692727,1.48510772208649,0,1.6061103423192,2.13110747772841,1.48283161397989,1.05665612451378,0,1.22543935472287,0,0,0,0,0.637733696829963,0,0,1.1932730180765,0.804504025208469,0,0.738186963583988,0,1.9924217678402,0
"USP53",-1.39448191912026,-0.632194512784184,-1.26704207871502,-1.20285084367638,-1.58351574351027,-0.813521348956596,-2.04037341848374,-0.899017569238202,-1.09738567721283,0,-1.0714053894326,-1.12408412487298,-0.825797304246933,-0.829911207230277,-0.922942428774974,-0.395113502819032,0.244427936141547,0,0,-0.252196598110004,0.487323512668224,0,0.547668475169385,-0.390760033687075,0,0,-1.30956005129913,-1.54734723559223,-1.56633273183692,-1.44601221976034,-0.923145840131094,0.308266752052376,-1.171617951762,0.406811776336378,-0.953864425229069,-0.660645217638677,-0.850627314426698,-0.864626439584201,-1.24075414520574,0,-1.31021300222265,-1.22153105469594,0,-0.973866363937646,-1.37562289186894,-1.22094566412556,-0.67557629649904,-0.78466648628441,-1.26051654868654,-0.250092009785081,-0.572460555001277,0,0,-0.218841075800641,0,-0.227467860346497,-0.959783672624541,-0.575942523805472,-0.674807422966279,-0.658029465646242,-0.395942876248536,-1.23604423529945,0
"TNFAIP6",1.36975735516147,0,1.39672440276174,0,0,1.73567346242617,1.48616684727678,0,0.62815006773841,0.566579836347778,0,0,0,0.691006374940557,0,-0.20028572572395,0,0,0,0.203831885484048,0.235067546712873,-0.42338962240937,0,0,0,0.507361069545901,0.818196196181398,1.19897820201339,2.10005921904666,0.952145912218797,1.07521514806918,0.483429474741791,0,0,0,0.0290080846288963,0,0.0315574668807184,0,-0.305705697448412,0,0,0,0,0.53968235660378,0.846498454465487,0.255822302549937,0,0.707579993301813,0,0,0,-0.226500937776812,0,0.571518443725785,-0.234472872331542,1.05145702431842,0.784794854440311,0,-0.0293133957123101,0,0,0
"ANGPTL1",1.33453649509227,0,0,0,0,0,2.43407216864318,0.0417547458644205,0,0.705788817576776,0,0.334536495092266,0.0165321621611668,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11652251426639,0,1.3449462781702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428447619449303,0.338147748644645,0.571951443154685,0,0,0.755209529040543,0
"EGR2",1.32554771186501,0,1.57490718080173,0,0,0,0,1.72764615543636,0,2.10822628007599,0,0,0,0,0,0,1.63859765540592,0,0,0,0.563159520818899,0,0,0.0853440144121033,1.1861446551996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250712478942422,1.08334680944838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAGLN3",1.22499741344571,0.24459020816516,0,1.39913189091014,2.01017210065454,0.426278658923311,1.22299506053457,0,1.14393215830933,0,0.933929364810279,1.14582720001211,0.788659811509575,0.386493792817446,0.65622567657938,0.651838359338441,-0.631877644455688,0,0,0,0,0,-0.240101894804106,0,0,0,2.24583503689268,1.83451098029704,1.19953608771058,2.00832367626217,0,0,1.48079281800221,0,0.565843807049027,0,0.692849083784348,0,1.72472370003391,0,1.93081430904126,1.29922526701503,0.828041807299056,1.45269228249425,1.3761248194339,1.29338438842597,0.902432507671434,0.937700694626497,1.07925958307312,0,0,0,0,0,-0.920740416926882,0,1.17447255290298,0.55109692304213,0.255692098354015,0.136800924222814,0,1.3194972287451,0
"VSIR",-1.21835329985671,-0.710705019406413,-1.13454039185174,-1.06069898677938,0,-0.914306724533054,0,-0.936440883817231,-1.29593681961199,-0.483303594603494,-1.16484878966789,-1.24938019547734,-0.985911013767162,-0.851696262948763,-1.02049782529921,0,0,0,-1.15978275898254,0,0.37556218358555,0,0,0,0,0,-1.86167311541526,-1.52901656864826,-1.48805143597152,-1.78116265833932,-1.27607098043805,0,-1.75402493819172,0,-1.20223363449344,-0.694962621349885,-1.40099851893987,-1.09688904551854,-1.30756126656587,0,-2.1879796508132,-1.31964229597407,0,-1.34855202298342,-1.88419890263609,-1.86288427684715,-1.17167783848409,-1.13046719215799,-1.81714195544489,0,0,0,0,0,0,-0.57264350104852,-1.30182049678876,-0.952987192697114,-0.953385221813156,-0.620177701250222,-0.496101946175527,-1.47091361408469,0
"CCL2",-1.1480524921879,-0.665366850801901,-0.999267695670934,-1.02786997305525,-2.16922800233774,-0.959383414694754,-0.823597785374741,-0.637911565673402,-1.37830901213901,-0.354468095297383,-0.984484410180297,-1.2329246268229,-0.551874508263705,-0.631975452177474,-1.26503559581044,-0.456926796544645,0,0,-1.1975726280317,0,0,0,0.372931819995766,0,0,0,-1.30752686300012,-1.45614738567479,-1.32976724039657,-1.81091693012268,-0.833885911562694,0,-1.15967127909643,0,-0.752315266344724,-0.680556279273612,-0.920591939198311,-0.991656478161532,-1.51365747863759,0,-1.31296806233657,-1.22415322713502,0,-1.4421040266374,-1.60177346605032,-1.59923434957284,-1.07548082991461,-0.980967651145122,-1.13446471134778,-0.807219392133453,-0.729360123852192,-0.992604271639173,0,0,-0.538727998598134,-0.426836748119451,-0.657221455852648,-0.419965049368147,-0.620505591213629,-0.616483552396513,-0.543731474992664,-0.964491444299533,0
